P/E,E/P,P/B,P/S,P/CF,L/A,NetDebt / EBITDA,EV / EBITDA,ROA,ROE,ROS,delta
6.59,15.18,0.64,0.36,2.95,27.89,,,5.75,7.34,5.54,25.944584382871525
5.38,18.6,0.7,0.39,3.24,35.65,,,7.94,11.33,7.19,11.159999999999993
8.12,12.32,0.73,0.41,3.24,35.64,0.74,3.63,5.68,8.34,5.06,2.195034184958611
11.63,8.6,0.75,0.46,3.73,35.64,0.6,3.9,4.06,5.95,3.97,36.61971830985915
7.85,12.74,0.95,0.56,4.48,33.21,0.34,4.31,8.04,12.05,7.08,25.99226804123711
5.55,18.02,0.8,,2.21,91.98,,,1.11,8.45,,88.47856154910099
13.62,7.34,1.28,0.98,3.4,91.31,,,0.82,6.49,7.23,14.1777353782931
6.43,15.54,1.24,1.11,3.7,88.88,,,2.07,15.77,17.32,79.94087023587635
8.38,11.93,1.83,1.88,5.26,87.33,,,2.76,21.79,22.38,-35.35021609458157
2.86,34.92,0.35,0.64,1.73,28.3,,,7.36,9.7,22.2,2.127659574468077
21.69,4.61,0.34,0.61,1.75,33.32,,,0.94,1.31,2.81,-3.7847222222222143
4.07,24.55,0.3,0.54,1.74,35.99,1.11,2.86,4.56,6.7,13.26,-15.099242150848081
2.79,35.81,0.24,0.46,1.91,32.37,1.46,3.57,5.67,8.3,16.32,23.6759330102865
4.49,22.27,0.29,0.53,2.71,34.12,1.63,3.98,4.2,6.38,11.71,4.825405554028062
10.76,9.29,3.17,3.97,11.26,37.62,,,13.4,14.18,36.9,47.435897435897445
46.81,2.14,4.51,4.88,16.81,44.63,,,4.28,4.81,10.43,12.730434782608713
26.45,3.78,4.6,4.14,15.3,51.35,2.8,19.55,7.73,9.59,15.65,-3.3323048441838976
7.18,13.93,2.89,3.54,12.36,31.76,0.7,8.54,26.4,34.17,49.32,18.097669964889885
13.5,7.41,2.9,3.85,13.26,25.71,0.35,9.11,15.94,21.46,28.54,40.05405405405406
46.04,2.17,3.4,2.96,9.55,48.09,,,3.76,5.99,6.44,38.175182481751825
16.04,6.24,5.55,3.28,8.16,63.55,,,13.79,29.27,20.48,-4.986793449550975
13.68,7.31,8.63,2.81,7.04,83.08,0.98,5.53,12.14,38.59,20.56,-5.270766151451134
8.05,12.42,5.7,2.46,7.02,76.31,1.07,6.31,16.98,101.55,30.52,30.484798685291704
13.81,7.24,6.56,3.28,10.38,72.0,2.0,9.44,13.02,53.85,23.73,-4.192155451601298
